Id,Lat.,Long.,Indirizzo,UPL,Quartiere,Circoscrizione,Coordinate,Proponente,Titolo proposta,Rappresentante,Stato di avanzamento,Patto di Collaborazione sottoscritto,Foto,googlemaps ,geouri
038,38.1188975,13.36686029,"Piazzetta Porta Carbone, delimitata da via dei Cassari e  piazza Tarzanà",Castellammare o Loggia,Tribunali-Castellammare,I,"38.11889750333149, 13.36686029396672",Associazione,Riqualificazione di Piazzetta Porta Carbone,Palermo Nostra,Respinta,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1188975033314,13.3668602939667","geo:38.1188975033314,13.3668602939667"
039,38.11242544,13.36948285,via Lincoln 121,Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11242543540506, 13.369482852748952",Società,Educazione civica e partecipazione,Movimento idea e Azione,Respinta,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.112425435405,13.3694828527489","geo:38.112425435405,13.3694828527489"
040,38.10139964,13.33918711,Piazza Turba,Cuba - Calatafimi,Cuba - Calatafimi,IV,"38.10139964285257, 13.339187110194644",Associazione,Piazza scolastica a regola d'arte : la rigenerazione urbana prende vita e arti.,Liceo Artistico Statale Vincenzo Ragusa e Otama Kyohara  ,In attesa di integrazione,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1013996428525,13.3391871101946","geo:38.1013996428525,13.3391871101946"
041,38.11448,13.35989,Piazzetta Castelnuovo,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.11448, 13.35989",Società ,Progetto per la rifunzionalizzazione della Piazzetta Castelnuovo,Società Grotta Azzurra s.r.l.,Respinta,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.11448,13.35989","geo:38.11448,13.35989"
042,38.12639288,13.35785509,Piazza Don Luigi Sturzo,Borgo Vecchio - Principe Scordia,Politeama,VIII,"38.12639287825929, 13.357855091070034",Società,"Piccolo bosco urbano  ""Colibrì"" ",D1eci Srl società benefit a socio unico  ,In attesa di integrazione,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1263928782592,13.35785509107","geo:38.1263928782592,13.35785509107"
043,38.12065353,13.36018928,Piazza Olivella,Castellammare o Loggia,Tribunali-Castellammare,I,"38.12065352789346, 13.360189283112842",Gruppo informale,Valorizzazione Monteleone e Piazza Olivella  Olivella District,Comitato Monteleone Olivella,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1206535278934,13.3601892831128","geo:38.1206535278934,13.3601892831128"
044,38.11312761,13.36251244,Piazza SS 40 martiri al casalotto,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.113127610442504, 13.362512443941268",Società,Dalla porta di Bebilbacal a Ballarò,Cinematocasa s.r.l.,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1131276104425,13.3625124439412","geo:38.1131276104425,13.3625124439412"
045,38.11488481,13.36390565,via Mastrangelo ,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.114884806969975, 13.363905647950206",Gruppo Informale,Arredo Urbano in via Mastrangelo,Gruppo Informale Decoro in via Mastrangelo,Patto stipulato,patto di collaborazione mastrangelo f.to.pdf,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1148848069699,13.3639056479502","geo:38.1148848069699,13.3639056479502"
046,38.18927752,13.28705295,Piazza Tommaso Natale ,Tommaso Natale - Sant'Ambrogio - Cardillo,Tommaso Natale - Sferracavallo,VII,"38.18927752261314, 13.287052952279877",Associazione,Gestiamo la nostra Piazza,Associazione Comunale SILPA,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1892775226131,13.2870529522798","geo:38.1892775226131,13.2870529522798"
047,38.19964332,13.32844629,Tratto del lungomare  di viale Regina Elena oggetto di pedonalizzazione che include la passeggiata e parte della sede stradale.,Partanna Mondello,Partanna Mondello,VIII,"38.19964331864181, 13.328446289131925",Società ,"Mondello: Arte , Cultura e Musica",Mondello Immobiliare Italo Belga s.a.,Patto stipulato,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1996433186418,13.3284462891319","geo:38.1996433186418,13.3284462891319"
048,38.11540358,13.34322977,"via Domenico Guerrazzi, 46 ",Zisa - Ingastone,Zisa,V,"38.11540357902976, 13.343229772699793",Persona fisica,"""Non c'e niente di male a Puliziare""",,Patto stipulato,patto_di_collaborazione_non_c___niente_di_male_a_puliziare_pdf_f.to_timbrato.pdf,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1154035790297,13.3432297726997","geo:38.1154035790297,13.3432297726997"
049,38.11543022,13.36021129,"Locali dell’ex Visitor Center, al piano terra di Palazzo Gulì, prospicienti la via Vittorio Emanuele, civico n.355 e 357.",Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.11543022136172, 13.36021128697906",Persona Fisica,Questo  non è un marshmallow,Centro Siciliano di documentazione Giuseppe Impastato Onlus ,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1154302213617,13.360211286979","geo:38.1154302213617,13.360211286979"
050,38.12095582,13.36570291,"Area degli Schiavoni, situata in prossimità del porto di Palermo e del waterfront urbano",Castellammare o Loggia,Tribunali-Castellammare,I,"38.120955820438304, 13.365702910469336",Associazione,ALBAB,Associazione Il Diario di Palermo,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1209558204383,13.3657029104693","geo:38.1209558204383,13.3657029104693"
051,38.11444474,13.36958485,Piazza Magione,Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11444473824707, 13.369584849982374",Gruppo Informale,"Piazza Magione in Movimento: Hub per il Benessere, Sport e attività fisiche per la Comunità",,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.114444738247,13.3695848499823","geo:38.114444738247,13.3695848499823"
052,38.14229074,13.34813956,Largo Rodrigo  Pantaleone ,Marchese di Villabianca - Sampolo,Libertà,VIII,"38.14229073591264, 13.348139560829502",Associazione ,Il largo è di tutti ,Associazione  Nausicaa A PS aderente all'ARCI nazionale,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1422907359126,13.3481395608295","geo:38.1422907359126,13.3481395608295"
053,38.10983728,13.35502763,Via Benedettini 16,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.109837284563454, 13.355027626237472",Associazione,Uno spazio per lo sport,Associazione San Giuseppe Cafasso Onlus,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1098372845634,13.3550276262374","geo:38.1098372845634,13.3550276262374"
054,38.12667941,13.36141009,via Emerico Amari,Borgo Vecchio - Principe Scordia,Politeama,VIII,"38.1266794121674, 13.361410090316586",Persona Fisica,Steli di Pace,Rotary Club,Patto stipulato,patto di collaborazione protocollato.pdf,https://palermohub.github.io/Dashboard-Monitoraggio/img/054.jpg,"https://maps.google.com/?q=38.1266794121674,13.3614100903165","geo:38.1266794121674,13.3614100903165"
055,38.11747,13.35669,"Piazzetta delle sedie volanti, vicolo Mirabella",Monte di Pietà o Seralcadi,Palazzo Reale - Monte di Pietà,I,"38.11747, 13.35669",Società,Riqualificazione Piazzetta delle sedie volanti,ALFATER s.r.l. ,Respinta,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.11747,13.35669","geo:38.11747,13.35669"
056,38.11112639,13.35155437,area in prossimità del chiosco all'interno dei viali pedonali di piazza Indipendenza,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.111126394054786, 13.351554374685309",Società,Il patto reale del gusto,Buffa s.r.l.,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1111263940547,13.3515543746853","geo:38.1111263940547,13.3515543746853"
057,38.14474739,13.34562182,Piazza Don Bosco,Marchese di Villabianca - Sampolo,Libertà,VII,"38.144747389115246, 13.345621824619249",Associazione,Pitturazione simbolica di una panchina a piazza Don Bosco,Giuseppe Cascio,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1447473891152,13.3456218246192","geo:38.1447473891152,13.3456218246192"
058,38.11112639,13.35155437,"Piazzetta delle sedie volanti, vicolo Mirabella",Monte di Pietà o Seralcadi,Palazzo Reale - Monte di Pietà,I,"38.111126394054786, 13.351554374685309",Società,Al Capo pedonale- Patto per la rinascita del quartiere storico,ALFATER s.r.l. ,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1111263940547,13.3515543746853","geo:38.1111263940547,13.3515543746853"
